,File,ID,File_Timestamp,File_Date,File_Time,S3_Timestamp,S3_Date,S3_Time,Time_Bin
71,Analysis/Voice/2025/04/07/cf6c558b-b662-41df-9bb7-40e6021600ee_analysis_2025-04-07T22:56:01Z.json,cf6c558b-b662-41df-9bb7-40e6021600ee,2025-04-07 22:56:01,2025-04-07,22:56:01,2025-04-07 23:01:27+00:00,2025-04-07,23:01:27,2025-04-07 22:00:00
70,Analysis/Voice/2025/04/07/58b60fd8-3994-44c1-8d01-7682c86495a0_analysis_2025-04-07T22:54:19Z.json,58b60fd8-3994-44c1-8d01-7682c86495a0,2025-04-07 22:54:19,2025-04-07,22:54:19,2025-04-07 22:59:46+00:00,2025-04-07,22:59:46,2025-04-07 22:00:00
69,Analysis/Voice/2025/04/07/e936dacb-7470-4aca-a330-d51efe4bdda7_analysis_2025-04-07T22:38:06Z.json,e936dacb-7470-4aca-a330-d51efe4bdda7,2025-04-07 22:38:06,2025-04-07,22:38:06,2025-04-07 22:43:08+00:00,2025-04-07,22:43:08,2025-04-07 22:00:00
68,Analysis/Voice/2025/04/07/c86ad7f6-73e9-40f7-95f6-ddcb22b110c6_analysis_2025-04-07T22:36:25Z.json,c86ad7f6-73e9-40f7-95f6-ddcb22b110c6,2025-04-07 22:36:25,2025-04-07,22:36:25,2025-04-07 22:42:59+00:00,2025-04-07,22:42:59,2025-04-07 22:00:00
67,Analysis/Voice/2025/04/07/593a963b-ac8e-471d-adb5-be38634c0de2_analysis_2025-04-07T22:34:59Z.json,593a963b-ac8e-471d-adb5-be38634c0de2,2025-04-07 22:34:59,2025-04-07,22:34:59,2025-04-07 22:41:53+00:00,2025-04-07,22:41:53,2025-04-07 22:00:00
66,Analysis/Voice/2025/04/07/17228774-5087-443d-bf13-5503d010d7e9_analysis_2025-04-07T22:33:37Z.json,17228774-5087-443d-bf13-5503d010d7e9,2025-04-07 22:33:37,2025-04-07,22:33:37,2025-04-07 22:40:22+00:00,2025-04-07,22:40:22,2025-04-07 22:00:00
65,Analysis/Voice/2025/04/07/496f45e3-02ef-4043-9ce8-7bec1c49251e_analysis_2025-04-07T22:31:46Z.json,496f45e3-02ef-4043-9ce8-7bec1c49251e,2025-04-07 22:31:46,2025-04-07,22:31:46,2025-04-07 22:36:49+00:00,2025-04-07,22:36:49,2025-04-07 22:00:00
64,Analysis/Voice/2025/04/07/9d25c685-c5ca-4f63-afcd-c95f93b1bb83_analysis_2025-04-07T22:30:56Z.json,9d25c685-c5ca-4f63-afcd-c95f93b1bb83,2025-04-07 22:30:56,2025-04-07,22:30:56,2025-04-07 22:37:09+00:00,2025-04-07,22:37:09,2025-04-07 22:00:00
63,Analysis/Voice/2025/04/07/77240c4c-37dd-4424-88cc-fadbdac527dd_analysis_2025-04-07T22:30:23Z.json,77240c4c-37dd-4424-88cc-fadbdac527dd,2025-04-07 22:30:23,2025-04-07,22:30:23,2025-04-07 22:35:30+00:00,2025-04-07,22:35:30,2025-04-07 22:00:00
62,Analysis/Voice/2025/04/07/a30cd39f-a46d-4be2-a871-a3d360d8386d_analysis_2025-04-07T22:28:50Z.json,a30cd39f-a46d-4be2-a871-a3d360d8386d,2025-04-07 22:28:50,2025-04-07,22:28:50,2025-04-07 22:34:37+00:00,2025-04-07,22:34:37,2025-04-07 22:00:00
61,Analysis/Voice/2025/04/07/336b064b-7c5c-441d-9c60-fb3747a3598a_analysis_2025-04-07T22:24:49Z.json,336b064b-7c5c-441d-9c60-fb3747a3598a,2025-04-07 22:24:49,2025-04-07,22:24:49,2025-04-07 22:30:13+00:00,2025-04-07,22:30:13,2025-04-07 22:00:00
60,Analysis/Voice/2025/04/07/e1250ed1-44b0-462e-a13a-4982ab83c5a3_analysis_2025-04-07T22:24:03Z.json,e1250ed1-44b0-462e-a13a-4982ab83c5a3,2025-04-07 22:24:03,2025-04-07,22:24:03,2025-04-07 22:29:46+00:00,2025-04-07,22:29:46,2025-04-07 22:00:00
59,Analysis/Voice/2025/04/07/ef9b66cd-7329-44d8-8a43-582797708aff_analysis_2025-04-07T22:23:03Z.json,ef9b66cd-7329-44d8-8a43-582797708aff,2025-04-07 22:23:03,2025-04-07,22:23:03,2025-04-07 22:27:54+00:00,2025-04-07,22:27:54,2025-04-07 22:00:00
58,Analysis/Voice/2025/04/07/f74408e7-fc80-4854-bfd2-1236f203ba87_analysis_2025-04-07T22:14:33Z.json,f74408e7-fc80-4854-bfd2-1236f203ba87,2025-04-07 22:14:33,2025-04-07,22:14:33,2025-04-07 22:21:40+00:00,2025-04-07,22:21:40,2025-04-07 22:00:00
57,Analysis/Voice/2025/04/07/7b2eacce-a9ef-4673-995a-d4dacd2c27c8_analysis_2025-04-07T22:11:29Z.json,7b2eacce-a9ef-4673-995a-d4dacd2c27c8,2025-04-07 22:11:29,2025-04-07,22:11:29,2025-04-07 22:18:53+00:00,2025-04-07,22:18:53,2025-04-07 22:00:00
56,Analysis/Voice/2025/04/07/3e8ee191-5c87-4b80-9211-e53b6d211917_analysis_2025-04-07T22:05:37Z.json,3e8ee191-5c87-4b80-9211-e53b6d211917,2025-04-07 22:05:37,2025-04-07,22:05:37,2025-04-07 22:11:51+00:00,2025-04-07,22:11:51,2025-04-07 22:00:00
55,Analysis/Voice/2025/04/07/02cebabe-0210-4a49-9cc2-5988cab02883_analysis_2025-04-07T22:02:48Z.json,02cebabe-0210-4a49-9cc2-5988cab02883,2025-04-07 22:02:48,2025-04-07,22:02:48,2025-04-07 22:09:41+00:00,2025-04-07,22:09:41,2025-04-07 22:00:00
54,Analysis/Voice/2025/04/07/801c86be-75d6-4366-8167-b9ad0a7c92e9_analysis_2025-04-07T22:01:36Z.json,801c86be-75d6-4366-8167-b9ad0a7c92e9,2025-04-07 22:01:36,2025-04-07,22:01:36,2025-04-07 22:06:09+00:00,2025-04-07,22:06:09,2025-04-07 22:00:00
53,Analysis/Voice/2025/04/07/c6c1dbd6-b91e-420f-a452-c01cb556d0e0_analysis_2025-04-07T22:00:52Z.json,c6c1dbd6-b91e-420f-a452-c01cb556d0e0,2025-04-07 22:00:52,2025-04-07,22:00:52,2025-04-07 22:07:18+00:00,2025-04-07,22:07:18,2025-04-07 22:00:00
52,Analysis/Voice/2025/04/07/a4437b5c-b97e-43de-9ba2-2ae4338a16b5_analysis_2025-04-07T22:00:44Z.json,a4437b5c-b97e-43de-9ba2-2ae4338a16b5,2025-04-07 22:00:44,2025-04-07,22:00:44,2025-04-07 22:06:15+00:00,2025-04-07,22:06:15,2025-04-07 22:00:00
51,Analysis/Voice/2025/04/07/88d3ea79-b615-4563-b318-0b9df8c4de86_analysis_2025-04-07T22:00:16Z.json,88d3ea79-b615-4563-b318-0b9df8c4de86,2025-04-07 22:00:16,2025-04-07,22:00:16,2025-04-07 22:04:08+00:00,2025-04-07,22:04:08,2025-04-07 22:00:00
72,Analysis/Voice/2025/04/07/ae7133fa-b53f-4ae8-97f7-1628b9719d6f_analysis_2025-04-07T21:59:46Z.json,ae7133fa-b53f-4ae8-97f7-1628b9719d6f,2025-04-07 21:59:46,2025-04-07,21:59:46,2025-04-07 22:05:57+00:00,2025-04-07,22:05:57,2025-04-07 20:00:00
73,Analysis/Voice/2025/04/07/184ab1ff-c6f4-44c3-b296-c0e54e73d99b_analysis_2025-04-07T21:59:21Z.json,184ab1ff-c6f4-44c3-b296-c0e54e73d99b,2025-04-07 21:59:21,2025-04-07,21:59:21,2025-04-07 22:06:18+00:00,2025-04-07,22:06:18,2025-04-07 20:00:00
74,Analysis/Voice/2025/04/07/777526a4-8e75-4cb0-bded-af85bade32a5_analysis_2025-04-07T21:58:44Z.json,777526a4-8e75-4cb0-bded-af85bade32a5,2025-04-07 21:58:44,2025-04-07,21:58:44,2025-04-07 22:05:09+00:00,2025-04-07,22:05:09,2025-04-07 20:00:00
75,Analysis/Voice/2025/04/07/eb949f1b-0602-463e-93ea-69933e1c356e_analysis_2025-04-07T21:57:37Z.json,eb949f1b-0602-463e-93ea-69933e1c356e,2025-04-07 21:57:37,2025-04-07,21:57:37,2025-04-07 22:03:36+00:00,2025-04-07,22:03:36,2025-04-07 20:00:00
97,Analysis/Voice/2025/04/07/0f655265-687d-45d3-accd-620fd46223da_analysis_2025-04-07T21:56:52Z.json,0f655265-687d-45d3-accd-620fd46223da,2025-04-07 21:56:52,2025-04-07,21:56:52,2025-04-07 22:02:08+00:00,2025-04-07,22:02:08,2025-04-07 20:00:00
96,Analysis/Voice/2025/04/07/3ce13e24-e14f-4cd1-a19e-6b098fcec619_analysis_2025-04-07T21:54:47Z.json,3ce13e24-e14f-4cd1-a19e-6b098fcec619,2025-04-07 21:54:47,2025-04-07,21:54:47,2025-04-07 22:00:43+00:00,2025-04-07,22:00:43,2025-04-07 20:00:00
95,Analysis/Voice/2025/04/07/751a66ad-cc67-4895-aae7-9c780c680526_analysis_2025-04-07T21:54:06Z.json,751a66ad-cc67-4895-aae7-9c780c680526,2025-04-07 21:54:06,2025-04-07,21:54:06,2025-04-07 21:58:59+00:00,2025-04-07,21:58:59,2025-04-07 20:00:00
94,Analysis/Voice/2025/04/07/2928f13e-e174-4b48-a0de-b467a956e87d_analysis_2025-04-07T21:53:38Z.json,2928f13e-e174-4b48-a0de-b467a956e87d,2025-04-07 21:53:38,2025-04-07,21:53:38,2025-04-07 22:00:05+00:00,2025-04-07,22:00:05,2025-04-07 20:00:00
93,Analysis/Voice/2025/04/07/76da8096-6a17-4e7c-b754-af92f07ce656_analysis_2025-04-07T21:52:27Z.json,76da8096-6a17-4e7c-b754-af92f07ce656,2025-04-07 21:52:27,2025-04-07,21:52:27,2025-04-07 21:58:22+00:00,2025-04-07,21:58:22,2025-04-07 20:00:00
92,Analysis/Voice/2025/04/07/4ae44c37-d4dd-46cc-97f8-6f5faa14384f_analysis_2025-04-07T21:47:48Z.json,4ae44c37-d4dd-46cc-97f8-6f5faa14384f,2025-04-07 21:47:48,2025-04-07,21:47:48,2025-04-07 21:55:17+00:00,2025-04-07,21:55:17,2025-04-07 20:00:00
91,Analysis/Voice/2025/04/07/cc7cea44-7eba-4bfd-adf8-61e707b08354_analysis_2025-04-07T21:46:48Z.json,cc7cea44-7eba-4bfd-adf8-61e707b08354,2025-04-07 21:46:48,2025-04-07,21:46:48,2025-04-07 21:52:56+00:00,2025-04-07,21:52:56,2025-04-07 20:00:00
90,Analysis/Voice/2025/04/07/36fc9e62-de54-4eb4-8640-947294865f9e_analysis_2025-04-07T21:46:32Z.json,36fc9e62-de54-4eb4-8640-947294865f9e,2025-04-07 21:46:32,2025-04-07,21:46:32,2025-04-07 21:53:28+00:00,2025-04-07,21:53:28,2025-04-07 20:00:00
89,Analysis/Voice/2025/04/07/72abdd6e-7261-4661-b8ff-3cbf3dc1e0b7_analysis_2025-04-07T21:46:05Z.json,72abdd6e-7261-4661-b8ff-3cbf3dc1e0b7,2025-04-07 21:46:05,2025-04-07,21:46:05,2025-04-07 21:52:00+00:00,2025-04-07,21:52:00,2025-04-07 20:00:00
88,Analysis/Voice/2025/04/07/ee49368f-6d85-4578-b6b4-f921b1afd97b_analysis_2025-04-07T21:45:13Z.json,ee49368f-6d85-4578-b6b4-f921b1afd97b,2025-04-07 21:45:13,2025-04-07,21:45:13,2025-04-07 21:51:32+00:00,2025-04-07,21:51:32,2025-04-07 20:00:00
98,Analysis/Voice/2025/04/07/705e8a1b-bb65-4f07-af38-0a7c3335ba03_analysis_2025-04-07T21:43:46Z.json,705e8a1b-bb65-4f07-af38-0a7c3335ba03,2025-04-07 21:43:46,2025-04-07,21:43:46,2025-04-07 21:49:48+00:00,2025-04-07,21:49:48,2025-04-07 20:00:00
87,Analysis/Voice/2025/04/07/b46bc8f3-fa23-4686-9e9f-31bf27c8f127_analysis_2025-04-07T21:41:25Z.json,b46bc8f3-fa23-4686-9e9f-31bf27c8f127,2025-04-07 21:41:25,2025-04-07,21:41:25,2025-04-07 21:45:28+00:00,2025-04-07,21:45:28,2025-04-07 20:00:00
85,Analysis/Voice/2025/04/07/e5440692-4cd3-4e72-9af2-e60abebe5c40_analysis_2025-04-07T21:41:02Z.json,e5440692-4cd3-4e72-9af2-e60abebe5c40,2025-04-07 21:41:02,2025-04-07,21:41:02,2025-04-07 21:45:03+00:00,2025-04-07,21:45:03,2025-04-07 20:00:00
84,Analysis/Voice/2025/04/07/550ba547-7c58-47f6-9442-bdfa15b3bae7_analysis_2025-04-07T21:40:42Z.json,550ba547-7c58-47f6-9442-bdfa15b3bae7,2025-04-07 21:40:42,2025-04-07,21:40:42,2025-04-07 21:48:03+00:00,2025-04-07,21:48:03,2025-04-07 20:00:00
83,Analysis/Voice/2025/04/07/9c8f280e-2acd-489c-9441-eff50ab26609_analysis_2025-04-07T21:40:16Z.json,9c8f280e-2acd-489c-9441-eff50ab26609,2025-04-07 21:40:16,2025-04-07,21:40:16,2025-04-07 21:47:07+00:00,2025-04-07,21:47:07,2025-04-07 20:00:00
82,Analysis/Voice/2025/04/07/324632c3-b03e-4a35-960d-d8f0d106e7e3_analysis_2025-04-07T21:40:04Z.json,324632c3-b03e-4a35-960d-d8f0d106e7e3,2025-04-07 21:40:04,2025-04-07,21:40:04,2025-04-07 21:45:27+00:00,2025-04-07,21:45:27,2025-04-07 20:00:00
81,Analysis/Voice/2025/04/07/be3610f8-d119-45f1-bfc4-3fa7f1ef9f33_analysis_2025-04-07T21:39:37Z.json,be3610f8-d119-45f1-bfc4-3fa7f1ef9f33,2025-04-07 21:39:37,2025-04-07,21:39:37,2025-04-07 21:45:31+00:00,2025-04-07,21:45:31,2025-04-07 20:00:00
80,Analysis/Voice/2025/04/07/eed23f66-9800-4428-8f15-d57129f1dfe3_analysis_2025-04-07T21:39:30Z.json,eed23f66-9800-4428-8f15-d57129f1dfe3,2025-04-07 21:39:30,2025-04-07,21:39:30,2025-04-07 21:45:37+00:00,2025-04-07,21:45:37,2025-04-07 20:00:00
79,Analysis/Voice/2025/04/07/7197bcad-7dcb-4ad5-b1d2-a0a06dc3e49d_analysis_2025-04-07T21:39:11Z.json,7197bcad-7dcb-4ad5-b1d2-a0a06dc3e49d,2025-04-07 21:39:11,2025-04-07,21:39:11,2025-04-07 21:47:01+00:00,2025-04-07,21:47:01,2025-04-07 20:00:00
78,Analysis/Voice/2025/04/07/772a4737-2678-4735-8453-8b1326d6f51d_analysis_2025-04-07T21:36:56Z.json,772a4737-2678-4735-8453-8b1326d6f51d,2025-04-07 21:36:56,2025-04-07,21:36:56,2025-04-07 21:41:26+00:00,2025-04-07,21:41:26,2025-04-07 20:00:00
77,Analysis/Voice/2025/04/07/2fca56a3-a646-465f-8f20-1902d4e5d016_analysis_2025-04-07T21:36:04Z.json,2fca56a3-a646-465f-8f20-1902d4e5d016,2025-04-07 21:36:04,2025-04-07,21:36:04,2025-04-07 21:41:02+00:00,2025-04-07,21:41:02,2025-04-07 20:00:00
76,Analysis/Voice/2025/04/07/d7fd369d-3368-4b51-90ed-9ce829e5b926_analysis_2025-04-07T21:35:44Z.json,d7fd369d-3368-4b51-90ed-9ce829e5b926,2025-04-07 21:35:44,2025-04-07,21:35:44,2025-04-07 21:40:00+00:00,2025-04-07,21:40:00,2025-04-07 20:00:00
50,Analysis/Voice/2025/04/07/cb2fc9fb-ff2e-4546-b2b7-aaba1faee30e_analysis_2025-04-07T21:35:04Z.json,cb2fc9fb-ff2e-4546-b2b7-aaba1faee30e,2025-04-07 21:35:04,2025-04-07,21:35:04,2025-04-07 21:39:25+00:00,2025-04-07,21:39:25,2025-04-07 20:00:00
49,Analysis/Voice/2025/04/07/ab4f875a-8cf7-4a34-bbcd-1f798b0165b9_analysis_2025-04-07T21:34:34Z.json,ab4f875a-8cf7-4a34-bbcd-1f798b0165b9,2025-04-07 21:34:34,2025-04-07,21:34:34,2025-04-07 21:41:05+00:00,2025-04-07,21:41:05,2025-04-07 20:00:00
